events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'c'), ('A', 'a'))",b,468,863,0.936,0.863,1.0845886442641948
"(('A', 'c'), ('A', 'a'))",o,392,0,0.784,0,784.0
"(('A', 'c'), ('B', 'c'))",c,319,436,0.638,0.436,1.463302752293578
"(('A', 'c'), ('B', 'c'))",o,335,389,0.67,0.389,1.7223650385604115
"(('A', 'c'), ('B', 'c'))",b,434,602,0.868,0.602,1.4418604651162792
"(('A', 'c'), ('B', 'a'))",b,436,610,0.872,0.61,1.4295081967213115
"(('A', 'c'), ('B', 'a'))",c,293,439,0.586,0.439,1.3348519362186788
"(('A', 'c'), ('B', 'a'))",o,335,389,0.67,0.389,1.7223650385604115
"(('A', 'c'), ('C', 'a'))",c,323,445,0.646,0.445,1.451685393258427
"(('A', 'c'), ('C', 'a'))",b,431,599,0.862,0.599,1.4390651085141903
"(('A', 'c'), ('C', 'a'))",o,342,371,0.684,0.371,1.8436657681940702
"(('A', 'c'), ('C', 'c'))",b,440,609,0.88,0.609,1.444991789819376
"(('A', 'c'), ('C', 'c'))",c,308,449,0.616,0.449,1.3719376391982183
"(('A', 'c'), ('C', 'c'))",o,336,374,0.672,0.374,1.7967914438502675
"(('A', 'c'), ('D', 'a'))",c,321,454,0.642,0.454,1.4140969162995594
"(('A', 'c'), ('D', 'a'))",b,440,624,0.88,0.624,1.4102564102564104
"(('A', 'c'), ('D', 'a'))",o,340,396,0.68,0.396,1.7171717171717171
"(('A', 'c'), ('D', 'c'))",b,442,594,0.884,0.594,1.4882154882154883
"(('A', 'c'), ('D', 'c'))",c,306,420,0.612,0.42,1.457142857142857
"(('A', 'c'), ('D', 'c'))",o,324,357,0.648,0.357,1.8151260504201683
"(('A', 'c'), ('E', 'a'))",c,309,445,0.618,0.445,1.38876404494382
"(('A', 'c'), ('E', 'a'))",o,325,394,0.65,0.394,1.649746192893401
"(('A', 'c'), ('E', 'a'))",b,439,640,0.878,0.64,1.371875
"(('A', 'c'), ('E', 'c'))",b,446,592,0.892,0.592,1.5067567567567568
"(('A', 'c'), ('E', 'c'))",o,333,370,0.666,0.37,1.8
"(('A', 'c'), ('E', 'c'))",c,315,432,0.63,0.432,1.4583333333333333
"(('A', 'a'), ('A', 'c'))",b,450,894,0.9,0.894,1.0067114093959733
"(('A', 'a'), ('A', 'c'))",o,398,0,0.796,0,796.0
"(('A', 'a'), ('A', 'a'))",b,435,511,0.87,0.511,1.7025440313111546
"(('A', 'a'), ('B', 'c'))",c,333,438,0.666,0.438,1.5205479452054795
"(('A', 'a'), ('B', 'c'))",b,431,601,0.862,0.601,1.4342762063227954
"(('A', 'a'), ('B', 'c'))",o,333,370,0.666,0.37,1.8
"(('A', 'a'), ('B', 'a'))",b,443,593,0.886,0.593,1.494097807757167
"(('A', 'a'), ('B', 'a'))",c,310,414,0.62,0.414,1.497584541062802
"(('A', 'a'), ('B', 'a'))",o,333,340,0.666,0.34,1.9588235294117646
"(('A', 'a'), ('C', 'c'))",c,317,408,0.634,0.408,1.553921568627451
"(('A', 'a'), ('C', 'c'))",b,434,572,0.868,0.572,1.5174825174825175
"(('A', 'a'), ('C', 'c'))",o,336,385,0.672,0.385,1.7454545454545456
