events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'a'), ('B', 'a'))",c,249,468,0.498,0.468,1.064102564102564
"(('A', 'a'), ('B', 'a'))",b,406,804,0.812,0.804,1.0099502487562189
"(('A', 'a'), ('B', 'a'))",o,294,561,0.588,0.561,1.048128342245989
"(('A', 'a'), ('B', 'c'))",b,402,813,0.804,0.813,0.9889298892988931
"(('A', 'a'), ('B', 'c'))",o,289,537,0.578,0.537,1.0763500931098695
"(('A', 'a'), ('B', 'c'))",c,246,490,0.492,0.49,1.0040816326530613
"(('A', 'a'), ('C', 'c'))",c,245,469,0.49,0.469,1.0447761194029852
"(('A', 'a'), ('C', 'c'))",b,407,802,0.814,0.802,1.0149625935162094
"(('A', 'a'), ('C', 'c'))",o,285,565,0.57,0.565,1.008849557522124
"(('A', 'a'), ('C', 'a'))",b,410,799,0.82,0.799,1.0262828535669586
"(('A', 'a'), ('C', 'a'))",c,242,474,0.484,0.474,1.021097046413502
"(('A', 'a'), ('C', 'a'))",o,283,547,0.566,0.547,1.0347349177330893
"(('A', 'a'), ('D', 'a'))",o,308,548,0.616,0.548,1.1240875912408759
"(('A', 'a'), ('D', 'a'))",c,242,487,0.484,0.487,0.9938398357289527
"(('A', 'a'), ('D', 'a'))",b,390,800,0.78,0.8,0.975
"(('A', 'a'), ('D', 'c'))",b,412,827,0.824,0.827,0.9963724304715841
"(('A', 'a'), ('D', 'c'))",o,249,581,0.498,0.581,0.8571428571428572
"(('A', 'a'), ('D', 'c'))",c,242,483,0.484,0.483,1.0020703933747412
"(('A', 'a'), ('E', 'c'))",o,283,585,0.566,0.585,0.9675213675213675
"(('A', 'a'), ('E', 'c'))",b,423,809,0.846,0.809,1.045735475896168
"(('A', 'a'), ('E', 'c'))",c,238,495,0.476,0.495,0.9616161616161616
"(('A', 'a'), ('A', 'c'))",b,459,926,0.918,0.926,0.9913606911447084
"(('A', 'a'), ('A', 'c'))",o,231,441,0.462,0.441,1.0476190476190477
"(('A', 'a'), ('E', 'a'))",o,303,577,0.606,0.577,1.050259965337955
"(('A', 'a'), ('E', 'a'))",b,395,825,0.79,0.825,0.9575757575757576
"(('A', 'a'), ('E', 'a'))",c,261,472,0.522,0.472,1.1059322033898307
"(('A', 'c'), ('B', 'a'))",c,236,470,0.472,0.47,1.004255319148936
"(('A', 'c'), ('B', 'a'))",o,268,559,0.536,0.559,0.9588550983899821
"(('A', 'c'), ('B', 'a'))",b,406,799,0.812,0.799,1.016270337922403
"(('A', 'c'), ('C', 'c'))",c,243,482,0.486,0.482,1.008298755186722
"(('A', 'c'), ('C', 'c'))",b,410,799,0.82,0.799,1.0262828535669586
"(('A', 'c'), ('C', 'c'))",o,271,577,0.542,0.577,0.9393414211438477
"(('A', 'c'), ('C', 'a'))",c,250,487,0.5,0.487,1.026694045174538
"(('A', 'c'), ('C', 'a'))",b,397,814,0.794,0.814,0.9754299754299756
"(('A', 'c'), ('C', 'a'))",o,287,583,0.574,0.583,0.9845626072041166
"(('A', 'c'), ('D', 'a'))",c,253,506,0.506,0.506,1.0
"(('A', 'c'), ('D', 'a'))",o,276,571,0.552,0.571,0.9667250437828373
"(('A', 'c'), ('D', 'a'))",b,390,820,0.78,0.82,0.951219512195122
"(('A', 'c'), ('E', 'c'))",c,241,484,0.482,0.484,0.9958677685950413
"(('A', 'c'), ('E', 'c'))",o,275,550,0.55,0.55,1.0
"(('A', 'c'), ('E', 'c'))",b,403,830,0.806,0.83,0.9710843373493977
"(('B', 'a'), ('B', 'c'))",b,461,921,0.922,0.921,1.001085776330076
"(('B', 'a'), ('B', 'c'))",o,227,435,0.454,0.435,1.0436781609195402
"(('B', 'a'), ('B', 'a'))",b,393,779,0.786,0.779,1.0089858793324775
"(('B', 'a'), ('C', 'c'))",c,249,459,0.498,0.459,1.0849673202614378
"(('B', 'a'), ('C', 'c'))",b,404,813,0.808,0.813,0.9938499384993851
"(('B', 'a'), ('C', 'c'))",o,297,548,0.594,0.548,1.083941605839416
"(('B', 'a'), ('C', 'a'))",b,398,795,0.796,0.795,1.0012578616352201
"(('B', 'a'), ('C', 'a'))",c,236,491,0.472,0.491,0.9613034623217922
"(('B', 'a'), ('C', 'a'))",o,284,561,0.568,0.561,1.012477718360071
"(('B', 'a'), ('D', 'a'))",o,291,541,0.582,0.541,1.075785582255083
"(('B', 'a'), ('D', 'a'))",b,409,809,0.818,0.809,1.0111248454882569
"(('B', 'a'), ('D', 'a'))",c,229,502,0.458,0.502,0.9123505976095618
"(('B', 'a'), ('D', 'c'))",b,387,805,0.774,0.805,0.9614906832298137
"(('B', 'a'), ('D', 'c'))",o,284,586,0.568,0.586,0.9692832764505119
"(('B', 'a'), ('D', 'c'))",c,234,477,0.468,0.477,0.9811320754716982
"(('B', 'a'), ('E', 'c'))",o,283,551,0.566,0.551,1.027223230490018
"(('B', 'a'), ('E', 'c'))",c,234,480,0.468,0.48,0.9750000000000001
"(('B', 'a'), ('E', 'c'))",b,414,811,0.828,0.811,1.0209617755856966
