events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'a'), ('A', 'c'))",b,445,859,0.89,0.859,1.0360884749708965
"(('A', 'a'), ('A', 'c'))",o,429,0,0.858,0,858.0
"(('A', 'a'), ('A', 'a'))",b,440,532,0.88,0.532,1.6541353383458646
"(('A', 'a'), ('B', 'a'))",c,326,409,0.652,0.409,1.5941320293398535
"(('A', 'a'), ('B', 'a'))",b,431,600,0.862,0.6,1.4366666666666668
"(('A', 'a'), ('B', 'a'))",o,343,400,0.686,0.4,1.715
"(('A', 'a'), ('B', 'c'))",b,425,640,0.85,0.64,1.328125
"(('A', 'a'), ('B', 'c'))",o,332,389,0.664,0.389,1.7069408740359897
"(('A', 'a'), ('B', 'c'))",c,333,398,0.666,0.398,1.6733668341708543
"(('A', 'a'), ('C', 'c'))",c,319,395,0.638,0.395,1.6151898734177215
"(('A', 'a'), ('C', 'c'))",b,445,606,0.89,0.606,1.4686468646864688
"(('A', 'a'), ('C', 'c'))",o,337,374,0.674,0.374,1.8021390374331552
"(('A', 'a'), ('C', 'a'))",b,452,597,0.904,0.597,1.5142378559463987
"(('A', 'a'), ('C', 'a'))",o,328,414,0.656,0.414,1.5845410628019325
"(('A', 'a'), ('C', 'a'))",c,343,400,0.686,0.4,1.715
"(('A', 'a'), ('D', 'a'))",o,339,392,0.678,0.392,1.7295918367346939
"(('A', 'a'), ('D', 'a'))",b,431,623,0.862,0.623,1.3836276083467094
"(('A', 'a'), ('D', 'a'))",c,334,402,0.668,0.402,1.6616915422885572
"(('A', 'a'), ('D', 'c'))",b,435,605,0.87,0.605,1.43801652892562
"(('A', 'a'), ('D', 'c'))",c,342,404,0.684,0.404,1.693069306930693
"(('A', 'a'), ('D', 'c'))",o,346,377,0.692,0.377,1.8355437665782492
"(('A', 'a'), ('E', 'c'))",o,333,384,0.666,0.384,1.734375
"(('A', 'a'), ('E', 'c'))",b,443,597,0.886,0.597,1.4840871021775546
"(('A', 'a'), ('E', 'c'))",c,322,414,0.644,0.414,1.5555555555555556
"(('A', 'a'), ('E', 'a'))",b,443,596,0.886,0.596,1.4865771812080537
"(('A', 'a'), ('E', 'a'))",o,339,399,0.678,0.399,1.699248120300752
"(('A', 'a'), ('E', 'a'))",c,344,427,0.688,0.427,1.6112412177985949
"(('A', 'c'), ('A', 'a'))",b,451,859,0.902,0.859,1.050058207217695
"(('A', 'c'), ('A', 'a'))",o,410,0,0.82,0,819.9999999999999
"(('A', 'c'), ('A', 'c'))",b,429,496,0.858,0.496,1.7298387096774193
"(('A', 'c'), ('B', 'c'))",c,348,427,0.696,0.427,1.629976580796253
"(('A', 'c'), ('B', 'c'))",b,430,593,0.86,0.593,1.4502529510961215
"(('A', 'c'), ('B', 'c'))",o,329,371,0.658,0.371,1.7735849056603774
"(('A', 'c'), ('B', 'a'))",b,436,608,0.872,0.608,1.4342105263157896
"(('A', 'c'), ('B', 'a'))",o,351,360,0.702,0.36,1.95
"(('A', 'c'), ('B', 'a'))",c,316,434,0.632,0.434,1.4562211981566822
"(('A', 'c'), ('C', 'a'))",c,319,408,0.638,0.408,1.5637254901960786
"(('A', 'c'), ('C', 'a'))",b,448,560,0.896,0.56,1.5999999999999999
"(('A', 'c'), ('C', 'a'))",o,338,376,0.676,0.376,1.7978723404255321
