events,relations,freq1,freq2,relSup1,relSup2,disprop
"(('A', 'a'), ('A', 'c'))",o,448,77,0.896,0.077,11.636363636363637
"(('A', 'a'), ('A', 'c'))",b,435,927,0.87,0.927,0.9385113268608414
"(('A', 'a'), ('A', 'a'))",b,452,547,0.904,0.547,1.6526508226691041
"(('A', 'a'), ('B', 'a'))",o,355,419,0.71,0.419,1.6945107398568018
"(('A', 'a'), ('B', 'a'))",b,451,641,0.902,0.641,1.4071762870514821
"(('A', 'a'), ('B', 'a'))",c,331,348,0.662,0.348,1.902298850574713
"(('A', 'a'), ('B', 'c'))",b,431,703,0.862,0.703,1.2261735419630158
"(('A', 'a'), ('B', 'c'))",c,332,395,0.664,0.395,1.6810126582278482
"(('A', 'a'), ('B', 'c'))",o,356,406,0.712,0.406,1.753694581280788
"(('A', 'a'), ('C', 'a'))",o,345,394,0.69,0.394,1.7512690355329947
"(('A', 'a'), ('C', 'a'))",b,432,648,0.864,0.648,1.3333333333333333
"(('A', 'a'), ('C', 'a'))",c,338,362,0.676,0.362,1.8674033149171272
"(('A', 'a'), ('C', 'c'))",b,437,711,0.874,0.711,1.229254571026723
"(('A', 'a'), ('C', 'c'))",o,338,406,0.676,0.406,1.6650246305418719
"(('A', 'a'), ('C', 'c'))",c,328,413,0.656,0.413,1.5883777239709445
"(('A', 'a'), ('D', 'a'))",c,346,362,0.692,0.362,1.9116022099447514
"(('A', 'a'), ('D', 'a'))",b,434,609,0.868,0.609,1.4252873563218391
"(('A', 'a'), ('D', 'a'))",o,341,428,0.682,0.428,1.5934579439252339
"(('A', 'a'), ('D', 'c'))",o,352,423,0.704,0.423,1.6643026004728132
"(('A', 'a'), ('D', 'c'))",b,442,714,0.884,0.714,1.2380952380952381
"(('A', 'a'), ('D', 'c'))",c,344,405,0.688,0.405,1.6987654320987653
"(('A', 'a'), ('E', 'c'))",c,343,424,0.686,0.424,1.617924528301887
"(('A', 'a'), ('E', 'c'))",b,448,742,0.896,0.742,1.2075471698113207
"(('A', 'a'), ('E', 'c'))",o,351,389,0.702,0.389,1.8046272493573263
"(('A', 'a'), ('E', 'a'))",o,354,433,0.708,0.433,1.6351039260969977
"(('A', 'a'), ('E', 'a'))",b,432,617,0.864,0.617,1.40032414910859
"(('A', 'a'), ('E', 'a'))",c,336,346,0.672,0.346,1.9421965317919079
"(('A', 'c'), ('A', 'a'))",b,443,912,0.886,0.912,0.9714912280701754
"(('A', 'c'), ('A', 'a'))",o,445,23,0.89,0.023,38.69565217391305
"(('A', 'c'), ('A', 'c'))",b,443,700,0.886,0.7,1.2657142857142858
"(('A', 'c'), ('B', 'c'))",b,436,796,0.872,0.796,1.0954773869346732
"(('A', 'c'), ('B', 'c'))",o,346,387,0.692,0.387,1.788113695090439
"(('A', 'c'), ('B', 'c'))",c,330,503,0.66,0.503,1.312127236580517
"(('A', 'c'), ('B', 'a'))",b,451,716,0.902,0.716,1.2597765363128492
"(('A', 'c'), ('B', 'a'))",c,312,418,0.624,0.418,1.492822966507177
"(('A', 'c'), ('B', 'a'))",o,357,447,0.714,0.447,1.5973154362416107
"(('A', 'c'), ('C', 'c'))",b,434,770,0.868,0.77,1.1272727272727272
"(('A', 'c'), ('C', 'c'))",c,309,506,0.618,0.506,1.2213438735177866
"(('A', 'c'), ('C', 'c'))",o,367,373,0.734,0.373,1.967828418230563
"(('A', 'c'), ('C', 'a'))",b,437,710,0.874,0.71,1.2309859154929579
"(('A', 'c'), ('C', 'a'))",o,334,474,0.668,0.474,1.409282700421941
"(('A', 'c'), ('C', 'a'))",c,311,375,0.622,0.375,1.6586666666666667
"(('A', 'c'), ('D', 'c'))",o,352,414,0.704,0.414,1.7004830917874396
"(('A', 'c'), ('D', 'c'))",b,446,779,0.892,0.779,1.1450577663671373
"(('A', 'c'), ('D', 'c'))",c,332,540,0.664,0.54,1.2296296296296296
"(('A', 'c'), ('D', 'a'))",b,445,700,0.89,0.7,1.2714285714285716
"(('A', 'c'), ('D', 'a'))",o,368,445,0.736,0.445,1.6539325842696628
"(('A', 'c'), ('D', 'a'))",c,310,378,0.62,0.378,1.6402116402116402
"(('A', 'c'), ('E', 'a'))",c,313,368,0.626,0.368,1.7010869565217392
"(('A', 'c'), ('E', 'a'))",b,444,699,0.888,0.699,1.2703862660944207
"(('A', 'c'), ('E', 'a'))",o,353,468,0.706,0.468,1.5085470085470083
"(('A', 'c'), ('E', 'c'))",b,430,779,0.86,0.779,1.10397946084724
"(('A', 'c'), ('E', 'c'))",c,324,535,0.648,0.535,1.211214953271028
"(('A', 'c'), ('E', 'c'))",o,364,409,0.728,0.409,1.7799511002444988
"(('B', 'c'), ('A', 'a'))",o,362,417,0.724,0.417,1.73621103117506
"(('B', 'c'), ('A', 'a'))",b,437,695,0.874,0.695,1.2575539568345324
"(('B', 'c'), ('A', 'a'))",c,216,256,0.432,0.256,1.6875
"(('B', 'c'), ('A', 'c'))",b,451,773,0.902,0.773,1.166882276843467
"(('B', 'c'), ('A', 'c'))",o,373,392,0.746,0.392,1.9030612244897958
"(('B', 'c'), ('A', 'c'))",c,230,303,0.46,0.303,1.5181518151815183
"(('B', 'c'), ('B', 'a'))",b,455,902,0.91,0.902,1.0088691796008868
"(('B', 'c'), ('B', 'a'))",o,436,30,0.872,0.03,29.066666666666666
"(('B', 'c'), ('B', 'c'))",b,447,683,0.894,0.683,1.308931185944363
"(('B', 'c'), ('C', 'c'))",c,339,511,0.678,0.511,1.3268101761252447
"(('B', 'c'), ('C', 'c'))",o,353,371,0.706,0.371,1.902964959568733
"(('B', 'c'), ('C', 'c'))",b,438,762,0.876,0.762,1.1496062992125984
"(('B', 'c'), ('C', 'a'))",b,438,680,0.876,0.68,1.288235294117647
"(('B', 'c'), ('C', 'a'))",o,375,469,0.75,0.469,1.5991471215351813
"(('B', 'c'), ('C', 'a'))",c,305,362,0.61,0.362,1.6850828729281768
"(('B', 'c'), ('D', 'a'))",o,352,453,0.704,0.453,1.554083885209713
"(('B', 'c'), ('D', 'a'))",b,440,672,0.88,0.672,1.3095238095238095
